companyConceptProductId,centralProductId,productName,categories,itemCount,taxExempt,reportByUnit,latestPrice
688071072,219,Agave Nectar,"[{'categoryId': '1059', 'percentAllocation': 100.0}]",2,False,Gallon,47.63
836253054,null,Aglianico Beneventano Igt 2021,"[{'categoryId': '1153', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),10.83
685085665,null,Agua Del Sol Arrogueno,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,125.0
685084624,null,Agua Del Sol Coyote,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,140.0
916639662,null,Agua Del Sol Coyote Mezcal,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),97.99
683493646,null,Agua Del Sol Espadin Oaxaca,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (Liter),35.0
908798158,null,Agua del Sol Mexicano,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (750 Milliliters),84.99
685083553,null,Agua Del Sol Mexicano - Do not use,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,60.0
683480356,null,Ajornada Cachaca,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,30.0
687511661,null,Akashi 5yr Sherry Cask,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,157.0
669976280,null,Akashi Bourbon Cask 5yr,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,500 Milliliters,23.78
669973328,607173553,Akashi Bourbon Cask 7yr,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,157.0
668332510,null,Akashi Eigashima 10yr Sherry Cask,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,500 Milliliters,375.0
668333225,null,Akashi Eigashima 3yr Sake Cask,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,158.0
668336849,null,Akashi Eigashima 4yr Ume Cask,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,110.0
669976995,null,Akashi Eigashima 5yr Pinot Noir Wine Cask (Som Series),"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,145.0
668339682,null,Akashi Eigashima 5yr Sake Cask,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,145.0
668340525,null,Akashi Eigashima 5yr Sherry Cask,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,157.0
890097852,null,Akashi Eigashima Shuzo White Blended Whiskey,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,Bottle (1.8 Liters),52.0
669977150,null,Akashi Goju 50 Sherry Cask,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",1,False,750 Milliliters,49.0
668499713,null,"Akashi Grain Malt ""White Label""","[{'categoryId': '1101', 'percentAllocation': 100.0}]",2,False,1.8 Liters,52.0
669977455,607173556,Akashi Single Malt Whiskey,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",1,False,Bottle (750 Milliliters),82.0
687511560,null,Akashi Tequila Cask 3yr,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,500 Milliliters,125.0
669980879,null,akkeshi 2020,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,375 Milliliters,85.0
668460514,null,Akkeshi Akkeshi Boshu 2021,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,700 Milliliters,245.0
668462998,null,Akkeshi Akkeshi USUI 2021,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,175.0
669980161,null,"Akkeshi ""Boshu"" Single Malt 2021","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,245.0
669981697,null,"Akkeshi ""Daikan"" 2022","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,700 Milliliters,135.0
669985090,null,"Akkeshi ""Hakuro"" Single Malt 2023","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,700 Milliliters,192.0
669982740,null,Akkeshi Kanro Single Malt,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,255.0
668460328,null,"Akkeshi ""Kanro"" Single Malt 2020","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,700 Milliliters,255.0
668342766,null,"Akkeshi Malt & Grain ""Taisho"" 2022","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,750 Milliliters,135.0
668344977,null,"Akkeshi ""New Born"" 2018","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,200 Milliliters,100.0
668345432,null,"Akkeshi ""New Born"" 2019","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,200 Milliliters,100.0
668345701,null,Akkeshi Ritto 2021,"[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,700 Milliliters,250.0
669980443,null,"Akkeshi ""Ritto"" Single Malt 2021","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,700 Milliliters,250.0
668347084,null,"Akkeshi ""Sarorunkamuy"" Single Malt 2020","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,200 Milliliters,90.0
669982015,null,"Akkeshi ""Seimei"" Single Malt 2022","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,700 Milliliters,200.0
669981217,null,"Akkeshi ""Shoman"" 2023","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,700 Milliliters,134.0
669981458,null,"Akkeshi ""Shosetsu"" 2023","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,700 Milliliters,134.0
669982271,null,"Akkeshi ""Shosho"" 2021","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,700 Milliliters,135.0
668347447,null,"Akkeshi SM ""Keichtsu"" 2023","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,700 Milliliters,193.0
668348546,null,"Akkeshi ""Taisetsu"" Single Malt 2022","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,700 Milliliters,196.0
669982451,null,"Akkeshi ""Taisho"" 2022","[{'categoryId': '1101', 'percentAllocation': 100.0}]",0,False,700 Milliliters,135.0
686755045,null,Albe Barolo,"[{'categoryId': '1153', 'percentAllocation': 100.0}]",0,False,750 Milliliters,42.0
